traffic_level,road_condition,weather_severity,road_capacity,historical_delay,distance,demand_level,vehicle_load,previous_disruptions,disruption_prob,disruption
0.197,0.456,0.028,0.9,18.1,16.0,0.728,0.927,2,0.566,1
0.128,0.924,0.631,0.482,28.6,82.7,0.525,0.79,0,0.863,0
0.673,0.58,0.426,0.778,83.5,53.3,0.41,0.815,4,0.999,1
0.383,0.242,0.548,0.455,17.0,83.5,0.984,0.503,0,0.971,1
0.558,0.726,0.175,0.925,14.7,30.0,0.838,0.512,4,0.797,1
0.917,0.814,0.296,0.301,47.1,60.4,0.441,0.848,3,0.997,1
0.324,0.385,0.664,0.343,22.0,20.5,0.878,0.508,1,0.987,1
0.469,0.871,0.965,0.594,15.1,23.7,0.807,0.694,0,0.949,1
0.78,0.916,0.05,0.266,29.7,44.5,0.438,0.475,1,0.905,1
0.306,0.349,0.89,0.357,28.0,28.5,0.541,0.872,1,0.997,1
0.169,0.985,0.577,0.955,26.3,15.9,0.349,0.377,3,0.754,0
0.361,0.227,0.564,0.981,19.4,23.8,0.289,0.881,3,0.969,1
0.245,0.282,0.5,0.501,11.6,5.0,0.778,0.722,0,0.933,1
0.937,0.266,0.069,0.939,78.0,60.5,0.414,0.431,1,0.995,1
0.827,0.905,0.09,0.636,37.0,42.8,0.856,0.679,2,0.918,1
0.67,0.689,0.601,0.416,24.6,9.8,0.996,0.498,1,0.981,1
0.884,0.237,0.341,0.762,27.0,16.3,0.261,0.526,3,0.993,1
0.823,0.496,0.917,0.727,40.3,10.5,0.578,0.546,2,0.998,1
0.268,0.654,0.407,0.991,10.9,52.8,0.842,0.344,2,0.622,0
0.903,0.175,0.143,0.412,25.4,9.8,0.831,0.99,0,0.99,1
0.585,0.894,0.715,0.738,26.0,64.6,0.808,0.322,1,0.933,1
0.827,0.823,0.293,0.242,25.8,3.7,0.479,0.764,2,0.984,1
0.906,0.555,0.525,0.291,37.5,22.7,0.563,0.56,1,0.997,1
0.386,0.97,0.698,0.203,11.5,75.9,0.676,0.752,1,0.951,1
0.199,0.476,0.9,1.0,20.9,61.6,0.979,0.549,1,0.935,0
0.305,0.986,0.792,0.842,12.6,8.1,0.462,0.772,6,0.957,1
0.484,0.701,0.676,0.829,12.1,70.2,0.939,0.81,0,0.836,1
0.836,0.671,0.68,0.608,22.9,42.9,0.415,0.783,0,0.979,1
0.875,0.249,0.946,0.44,62.6,72.3,0.991,0.38,2,1.0,1
0.106,0.894,0.296,0.321,33.0,51.9,0.736,0.76,5,0.968,1
0.56,0.485,0.001,0.428,18.0,58.6,0.571,0.496,1,0.86,1
0.476,0.246,0.272,0.501,34.5,84.5,0.691,0.32,1,0.977,1
0.3,0.111,0.218,0.805,21.6,21.3,0.418,0.59,3,0.953,1
0.208,0.604,0.662,0.632,58.3,53.8,0.419,0.603,1,0.988,1
0.404,0.575,0.634,0.262,17.1,40.2,0.291,0.627,0,0.972,1
0.949,0.747,0.593,0.214,40.9,5.3,0.291,0.793,1,0.998,1
0.391,0.901,0.016,0.282,10.8,3.2,0.478,0.516,0,0.465,1
0.567,0.171,0.729,0.528,21.7,11.9,0.81,0.521,1,0.995,1
0.733,0.758,0.324,0.947,68.1,55.9,0.686,0.342,3,0.988,1
0.427,0.269,0.665,0.71,22.3,49.1,0.282,0.781,1,0.982,1
0.975,0.872,0.557,0.841,29.5,47.9,0.882,0.697,2,0.971,1
0.966,0.837,0.343,0.573,26.1,4.6,0.681,0.545,2,0.968,1
0.327,0.587,0.135,0.489,26.4,41.0,0.969,0.794,2,0.907,0
0.548,0.739,0.094,0.287,29.2,78.7,0.736,0.676,1,0.924,1
0.371,0.383,0.832,0.901,16.3,35.0,0.34,0.628,2,0.973,1
0.356,0.524,0.918,0.827,54.1,53.9,0.579,0.658,1,0.994,1
0.133,0.839,0.65,0.334,3.7,66.7,0.719,0.745,0,0.794,1
0.649,0.513,0.103,0.61,21.6,67.1,0.223,0.762,0,0.852,1
0.552,0.422,0.402,0.59,51.9,45.1,0.212,0.502,3,0.996,1
0.146,0.545,0.729,0.7,9.5,73.2,0.304,0.399,2,0.912,1
0.351,0.845,0.78,0.957,13.1,34.5,0.401,0.41,1,0.775,1
0.917,0.402,0.118,0.664,34.4,75.8,0.544,0.748,0,0.963,1
0.316,0.256,0.0,0.632,33.9,21.9,0.59,0.911,2,0.94,1
0.23,0.741,0.712,0.24,7.4,25.3,0.31,0.587,1,0.943,1
0.541,0.843,0.357,0.25,56.5,6.4,0.739,0.419,1,0.986,1
0.987,0.191,0.254,0.35,48.5,68.0,0.677,0.83,1,0.999,1
0.318,0.316,0.013,0.226,10.9,36.6,0.436,0.883,2,0.943,1
0.705,0.228,0.54,0.795,36.3,21.0,0.211,0.916,3,0.997,1
0.785,0.413,0.851,0.779,26.9,21.2,0.262,0.725,3,0.997,1
0.314,0.505,0.958,0.309,15.6,76.8,0.513,0.903,0,0.991,1
0.755,0.774,0.566,0.869,41.8,71.2,0.323,0.311,2,0.977,1
0.431,0.686,0.514,0.324,60.1,47.9,0.501,0.375,3,0.997,1
0.669,0.659,0.085,0.441,18.8,53.1,0.703,0.365,3,0.928,1
0.67,0.417,0.549,0.399,24.9,41.4,0.638,0.799,2,0.995,0
0.582,0.857,0.38,0.498,24.4,34.5,0.385,0.349,1,0.891,1
0.181,0.524,0.607,0.404,11.6,78.0,0.475,0.647,2,0.959,1
0.852,0.981,0.389,0.591,28.1,12.4,0.691,0.631,2,0.95,1
0.389,0.671,0.24,0.526,10.5,36.7,0.889,0.517,1,0.739,1
0.268,0.214,0.095,0.989,24.1,30.6,0.803,0.909,1,0.731,0
0.137,0.709,0.315,0.245,12.0,43.3,0.643,0.419,1,0.787,1
0.632,0.393,0.097,0.314,19.0,40.0,0.49,0.547,3,0.979,1
0.71,0.718,0.177,0.242,43.1,45.1,0.492,0.842,1,0.986,1
0.115,0.163,0.987,0.701,27.2,13.6,0.904,0.321,0,0.987,1
0.561,0.257,0.444,0.244,24.0,44.6,0.231,0.771,1,0.994,1
0.304,0.87,0.532,0.869,12.9,22.1,0.99,0.871,5,0.89,1
0.681,0.304,0.874,0.61,32.3,17.3,0.732,0.953,0,0.997,1
0.257,0.853,0.996,0.622,11.5,7.4,0.745,0.913,0,0.918,1
0.722,0.351,0.583,0.649,22.1,65.3,0.23,0.524,1,0.986,1
0.448,0.679,0.812,0.337,30.9,37.5,0.684,0.71,3,0.997,1
0.943,0.725,0.327,0.358,24.2,54.0,0.588,0.354,1,0.972,1
0.224,0.561,0.306,0.455,7.1,62.4,0.285,0.481,1,0.765,1
0.407,0.375,0.403,0.675,10.3,58.4,0.422,0.366,1,0.885,1
0.202,0.291,0.673,0.368,7.5,41.1,0.912,0.521,0,0.958,1
0.932,0.13,0.682,0.293,24.4,34.2,0.64,0.913,1,0.999,1
0.89,0.374,0.315,0.976,104.3,33.2,0.531,0.543,1,0.999,1
0.332,0.688,0.133,0.218,13.4,55.1,0.258,0.693,1,0.843,1
0.694,0.944,0.632,0.842,19.8,43.1,0.771,0.603,1,0.877,1
0.835,0.884,0.128,0.83,25.0,72.5,0.762,0.621,1,0.738,0
0.6,0.789,0.578,0.438,56.3,74.6,0.691,0.979,0,0.993,1
0.577,0.81,0.693,0.309,25.4,16.2,0.608,0.507,1,0.982,1
0.318,0.698,0.701,0.317,14.7,13.3,0.547,0.739,1,0.968,1
0.184,0.334,0.753,0.758,35.6,54.3,0.675,0.594,1,0.982,1
0.907,0.916,0.873,0.714,30.2,27.0,0.387,0.343,1,0.985,1
0.91,0.704,0.5,0.826,28.9,3.5,0.953,0.643,4,0.989,1
0.67,0.604,0.73,0.95,20.2,75.8,0.671,0.869,0,0.93,1
0.405,0.2,0.619,0.754,17.2,20.8,0.449,0.369,0,0.956,1
0.414,0.502,0.187,0.325,16.1,79.1,0.56,0.349,1,0.89,1
0.753,0.514,0.026,0.395,35.8,61.5,0.845,0.408,0,0.943,1
0.907,0.878,0.285,0.874,27.8,65.3,0.329,0.835,1,0.862,1
0.898,0.592,0.443,0.367,35.4,18.7,0.434,0.807,0,0.992,1
0.802,0.442,0.617,0.258,21.1,21.4,0.744,0.696,2,0.997,1
0.678,0.979,0.85,0.763,20.1,45.3,0.452,0.628,2,0.962,1
0.176,0.2,0.196,0.522,12.2,16.3,0.834,0.922,1,0.896,1
0.245,0.48,0.126,0.936,47.6,27.4,0.304,0.837,1,0.832,1
0.909,0.138,0.963,0.72,29.8,28.7,0.81,0.868,0,0.999,1
0.646,0.766,0.108,0.272,32.5,15.2,0.255,0.869,0,0.938,1
0.108,0.926,0.478,0.958,7.1,19.0,0.21,0.75,3,0.463,0
0.191,0.352,0.586,0.407,6.8,67.4,0.919,0.621,3,0.977,1
0.697,0.873,0.541,0.47,18.3,15.9,0.665,0.905,1,0.958,1
0.105,0.363,0.086,0.522,8.1,4.4,0.481,0.948,0,0.626,0
0.245,0.92,0.057,0.241,8.7,54.2,0.386,0.317,3,0.638,0
0.594,0.779,0.105,0.597,17.7,83.0,0.694,0.336,2,0.771,1
0.723,0.824,0.586,0.299,39.5,29.5,0.607,0.971,0,0.992,1
0.687,0.116,0.544,0.521,17.4,11.8,0.993,0.494,3,0.997,1
0.302,0.967,0.234,0.481,19.8,49.3,0.987,0.911,0,0.601,0
0.741,0.754,0.638,0.818,25.7,77.2,0.708,0.572,2,0.969,1
0.314,0.374,0.82,0.843,18.4,67.1,0.554,0.383,2,0.975,1
0.393,0.846,0.042,0.323,22.2,53.7,0.593,0.356,0,0.603,0
0.772,0.353,0.498,0.493,24.9,28.1,0.746,0.41,2,0.993,1
0.685,0.885,0.689,0.499,22.4,47.0,0.281,0.475,3,0.984,1
0.864,0.201,0.252,0.321,41.4,9.6,0.463,0.642,1,0.997,1
0.692,0.733,0.308,0.839,48.0,58.4,0.26,0.791,0,0.926,0
0.611,0.587,0.614,0.766,18.5,62.2,0.259,0.99,1,0.955,1
0.184,0.187,0.898,0.352,6.1,82.1,0.357,0.609,3,0.996,1
0.431,0.318,0.81,0.493,45.0,23.6,0.588,0.663,3,0.999,1
0.339,0.111,0.583,0.285,14.9,3.5,0.828,0.665,5,0.998,1
0.32,0.522,0.73,0.703,20.0,47.3,0.588,0.678,2,0.97,1
0.976,0.371,0.365,0.297,31.1,60.7,0.468,0.662,1,0.997,1
0.454,0.639,0.641,0.989,13.4,67.6,0.266,0.306,2,0.876,1
0.903,0.368,0.466,0.825,35.9,18.1,0.64,0.301,3,0.995,1
0.668,0.37,0.19,0.512,27.9,23.7,0.417,0.368,2,0.975,1
0.815,0.769,0.702,0.663,23.8,44.5,0.692,0.371,2,0.983,1
0.552,0.143,0.556,0.929,22.8,29.4,0.982,0.793,1,0.975,1
0.619,0.913,0.359,0.643,39.4,73.4,0.289,0.443,1,0.916,0
0.543,0.867,0.911,0.34,27.0,41.3,0.37,0.926,1,0.993,1
0.276,0.701,0.021,0.503,8.4,68.4,0.578,0.95,3,0.728,1
0.75,0.634,0.316,0.875,30.7,50.2,0.975,0.983,0,0.886,1
0.353,0.903,0.057,0.715,27.0,66.2,0.817,0.957,0,0.426,1
0.122,0.267,0.767,0.721,26.7,29.6,0.919,0.49,3,0.989,1
0.681,0.171,0.702,0.893,31.9,71.0,0.467,0.657,3,0.997,1
0.259,0.316,0.331,0.915,9.0,24.8,0.994,0.423,3,0.85,1
0.946,0.815,0.676,0.936,42.2,47.3,0.282,0.864,1,0.982,1
0.959,0.131,0.396,0.276,40.9,19.8,0.242,0.922,1,0.999,1
0.923,0.625,0.756,0.635,23.5,41.5,0.884,0.896,0,0.989,1
0.433,0.996,0.454,0.792,18.8,28.4,0.942,0.603,1,0.652,1
0.114,0.87,0.412,0.806,8.9,24.1,0.272,0.831,0,0.309,0
0.935,0.569,0.935,0.685,40.0,82.3,0.291,0.368,1,0.998,1
0.485,0.157,0.251,0.333,15.8,15.3,0.227,0.328,3,0.986,1
0.97,0.848,0.12,0.838,37.7,67.3,0.284,0.827,3,0.948,1
0.967,0.639,0.585,0.776,60.8,83.7,0.368,0.598,2,0.998,1
0.868,0.203,0.969,0.269,45.7,3.7,0.976,0.997,0,1.0,1
0.365,0.184,0.378,0.571,47.3,60.0,0.734,0.368,2,0.993,1
0.447,0.919,0.062,0.339,68.8,23.0,0.823,0.899,1,0.974,1
0.866,0.702,0.339,0.47,21.8,5.4,0.821,0.636,1,0.964,1
0.385,0.846,0.506,0.214,24.3,35.4,0.628,0.879,2,0.978,1
0.253,0.891,0.162,0.52,14.3,79.6,0.838,0.872,2,0.652,1
0.601,0.615,0.658,0.64,44.5,3.0,0.677,0.941,3,0.996,1
0.943,0.566,0.998,0.696,27.9,50.8,0.452,0.508,0,0.995,1
0.726,0.487,0.452,0.731,77.6,43.6,0.649,0.965,1,0.998,1
0.613,0.385,0.355,0.869,29.6,74.5,0.627,0.406,0,0.92,1
0.187,0.491,0.401,0.372,28.4,9.0,0.859,0.357,3,0.974,1
0.654,0.796,0.115,0.296,17.7,58.6,0.985,0.602,1,0.878,1
0.991,0.642,0.883,0.881,27.8,58.4,0.529,0.88,0,0.988,1
0.226,0.903,0.415,0.325,27.0,57.5,0.811,0.631,0,0.838,1
0.566,0.499,0.387,0.98,14.5,80.2,0.28,0.881,1,0.813,0
0.89,0.646,0.66,0.874,47.7,70.3,0.821,0.811,2,0.994,1
0.767,0.668,0.442,0.601,19.4,5.5,0.497,0.447,0,0.924,1
0.727,0.633,0.648,0.985,34.2,41.1,0.232,0.964,3,0.985,1
0.732,0.732,0.061,0.278,25.1,35.0,0.491,0.343,1,0.911,1
0.424,0.314,0.814,0.442,24.8,27.7,0.689,0.929,3,0.998,1
0.364,0.561,0.941,0.711,27.0,39.5,0.295,0.513,1,0.983,1
0.828,0.194,0.649,0.48,27.0,33.9,0.939,0.65,0,0.997,1
0.829,0.446,0.955,0.943,22.4,37.9,0.262,0.596,3,0.996,1
0.88,0.539,0.151,0.253,23.1,83.3,0.944,0.42,2,0.983,1
0.922,0.687,0.477,0.64,36.4,9.4,0.766,0.551,1,0.985,1
0.56,0.955,0.602,0.673,25.0,78.5,0.464,0.435,2,0.928,1
0.551,0.641,0.582,0.722,34.1,41.9,0.513,0.443,2,0.977,1
0.818,0.769,0.401,0.405,31.2,53.8,0.793,0.431,3,0.989,1
0.685,0.556,0.338,0.492,25.4,70.9,0.681,0.642,1,0.968,1
0.732,0.671,0.127,0.875,25.9,31.9,0.737,0.859,1,0.797,1
0.816,0.164,0.392,0.356,20.8,37.7,0.511,0.698,0,0.993,1
0.901,0.329,0.163,0.861,28.7,36.0,0.59,0.925,2,0.972,1
0.404,0.426,0.734,0.65,66.1,33.1,0.992,0.746,4,0.999,1
0.438,0.525,0.209,0.81,42.0,78.8,0.371,0.783,1,0.913,1
0.185,0.141,0.059,0.771,10.6,70.8,0.534,0.767,3,0.845,1
0.62,0.226,0.552,0.366,28.8,11.0,0.433,0.615,1,0.996,1
0.132,0.349,0.595,0.655,31.5,11.0,0.812,0.783,1,0.969,1
0.519,0.974,0.872,0.894,21.7,37.5,0.811,0.349,2,0.929,1
0.588,0.398,0.577,0.546,15.0,10.2,0.434,0.902,2,0.987,1
0.358,0.534,0.345,0.973,10.1,53.4,0.265,0.844,0,0.524,0
0.632,0.276,0.803,0.562,26.5,13.9,0.209,0.472,3,0.998,1
0.127,0.65,0.54,0.314,55.5,45.4,0.542,0.838,1,0.991,1
0.134,0.353,0.079,0.512,21.1,2.6,0.528,0.309,3,0.882,1
0.84,0.286,0.566,0.961,22.1,28.3,0.991,0.452,3,0.99,1
0.424,0.565,0.908,0.456,13.8,58.2,0.576,0.346,2,0.988,1
0.214,0.105,0.396,0.894,27.5,42.2,0.405,0.846,2,0.958,1
0.57,0.107,0.296,0.905,41.9,83.2,0.913,0.829,1,0.981,1
0.793,0.297,0.143,0.48,34.2,74.6,0.593,0.87,2,0.992,1
0.294,0.133,0.151,0.267,22.9,31.8,0.679,0.303,2,0.974,1
0.661,0.197,0.433,0.78,16.9,5.8,0.277,0.651,2,0.98,1
0.177,0.405,0.596,0.449,30.9,72.2,0.506,0.793,1,0.982,1
0.147,0.822,0.081,0.826,26.9,77.6,0.955,0.409,1,0.35,0
0.578,0.615,0.94,0.554,19.0,70.1,0.672,0.755,2,0.994,1
0.587,0.561,0.755,0.588,33.2,12.6,0.476,0.359,1,0.989,1
0.674,0.364,0.587,0.822,20.5,84.8,0.701,0.427,4,0.991,1
0.753,0.939,0.828,0.506,19.5,23.5,0.928,0.633,2,0.985,1
0.978,0.457,0.08,0.555,27.8,62.1,0.419,0.757,3,0.987,1
0.565,0.178,0.477,0.501,17.1,77.4,0.604,0.402,1,0.984,1
0.391,0.655,0.63,0.494,15.9,21.6,0.967,0.43,0,0.913,1
0.816,0.202,0.829,0.621,28.5,77.4,0.338,0.443,2,0.999,1
0.344,0.411,0.783,0.847,19.2,27.7,0.776,0.467,1,0.959,1
0.495,0.557,0.277,0.489,22.1,83.0,0.692,0.459,3,0.961,1
0.171,0.887,0.941,0.619,9.0,25.3,0.744,0.577,3,0.943,1
0.123,0.544,0.124,0.737,3.5,81.1,0.481,0.758,0,0.291,0
0.966,0.732,0.875,0.416,38.1,6.4,0.451,0.607,0,0.997,1
0.852,0.994,0.971,0.422,28.9,60.9,0.747,0.843,0,0.992,1
0.726,0.218,0.177,0.947,23.5,46.2,0.372,0.803,5,0.984,1
0.468,0.347,0.722,0.779,42.0,41.7,0.536,0.389,4,0.997,1
0.256,0.455,0.04,0.662,27.0,20.6,0.351,0.334,3,0.86,1
0.241,0.48,0.405,0.718,35.3,60.6,0.207,0.915,1,0.937,1
0.325,0.47,0.516,0.223,18.4,17.8,0.976,0.356,1,0.971,1
0.594,0.917,0.581,0.694,17.0,47.9,0.545,0.404,2,0.901,1
0.743,0.743,0.936,0.608,36.5,23.0,0.975,0.315,1,0.994,1
0.694,0.647,0.672,0.637,20.8,81.3,0.312,0.74,0,0.965,1
0.352,0.378,0.481,0.488,17.5,4.4,0.67,0.708,1,0.964,1
0.959,0.841,0.81,0.265,25.0,18.6,0.361,0.991,1,0.997,1
0.764,0.96,0.951,0.355,45.3,22.1,0.832,0.921,0,0.997,1
0.599,0.839,0.022,0.961,17.0,36.4,0.827,0.588,2,0.455,0
0.651,0.101,0.983,0.527,51.3,21.3,0.29,0.56,3,1.0,1
0.478,0.673,0.086,0.573,41.9,42.8,0.93,0.508,2,0.928,1
0.323,0.146,0.814,0.242,17.4,74.4,0.356,0.407,6,0.999,1
0.42,0.332,0.28,0.23,31.0,61.1,0.69,0.397,2,0.988,1
0.782,0.154,0.132,0.774,34.0,50.1,0.989,0.393,2,0.983,1
0.113,0.643,0.44,0.63,27.2,9.4,0.906,0.38,5,0.961,1
0.204,0.718,0.644,0.607,13.6,59.6,0.965,0.468,2,0.896,1
0.141,0.203,0.381,0.394,26.6,15.8,0.474,0.515,1,0.97,1
0.137,0.445,0.055,0.796,12.7,67.3,0.284,0.973,1,0.485,1
0.87,0.511,0.599,0.335,64.2,22.8,0.351,0.705,2,1.0,1
0.733,0.432,0.902,0.352,28.3,36.6,0.6,0.991,0,0.998,1
0.527,0.209,0.383,0.569,22.5,31.1,0.835,0.561,3,0.99,1
0.188,0.477,0.216,0.429,27.8,73.3,0.32,0.62,3,0.955,1
0.542,0.776,0.443,0.398,39.4,12.5,0.728,0.527,1,0.974,1
0.526,0.164,0.048,0.716,25.3,48.9,0.459,0.428,1,0.917,1
0.256,0.172,0.82,0.721,9.4,13.8,0.473,0.4,3,0.988,1
0.49,0.419,0.826,0.86,21.7,60.5,0.73,0.962,3,0.99,1
0.459,0.948,0.588,0.534,63.1,77.1,0.574,0.991,1,0.989,1
0.654,0.702,0.353,0.258,37.3,38.1,0.85,0.331,1,0.98,1
